id,edad,idu,npmbreusuario
233,32958,233,nombre867
234,21308,234,nombre23587
235,78355,235,nombre23634
236,62626,236,nombre17579
237,28981,237,nombre97158
238,20470,238,nombre72259
239,92024,239,nombre96622
240,77693,240,nombre45177
241,78155,241,nombre37138
242,66971,242,nombre62229
243,89411,243,nombre51502
244,15651,244,nombre28714
245,48358,245,nombre3291
246,45788,246,nombre54702
247,97076,247,nombre5489
248,81283,248,nombre86196
249,28037,249,nombre84989
250,93970,250,nombre72066
251,16701,251,nombre9304
252,80207,252,nombre62949
253,34195,253,nombre58279
254,40088,254,nombre86749
255,28595,255,nombre81817
256,91190,256,nombre92048
257,7746,257,nombre95202
258,36431,258,nombre29478
259,74933,259,nombre91059
260,56104,260,nombre89681
261,95980,261,nombre43156
262,57546,262,nombre81060
263,12259,263,nombre77798
264,86938,264,nombre50707
265,37529,265,nombre52062
266,80163,266,nombre9596
267,23524,267,nombre52493
268,71339,268,nombre9016
269,19339,269,nombre59678
270,65222,270,nombre29242
271,21899,271,nombre16342
272,56065,272,nombre82634
273,22188,273,nombre87939
274,98946,274,nombre31851
275,88165,275,nombre845
276,63574,276,nombre89245
277,25091,277,nombre18169
278,67170,278,nombre9346
279,16712,279,nombre45463
280,88948,280,nombre15266
281,50042,281,nombre51721
282,54118,282,nombre70065
283,35050,283,nombre53929
284,17982,284,nombre96716
285,64143,285,nombre14
286,73984,286,nombre8179
287,78172,287,nombre61290
288,54574,288,nombre37969
289,62969,289,nombre35505
290,73307,290,nombre76933
291,30416,291,nombre69157
292,47232,292,nombre6590
293,43169,293,nombre14386
294,76417,294,nombre98227
295,25849,295,nombre97367
296,98130,296,nombre47555
297,17077,297,nombre64516
298,79337,298,nombre53791
299,11555,299,nombre96244
300,11143,300,nombre15250
301,11393,301,nombre72966
302,76712,302,nombre96175
303,42776,303,nombre32093
304,14072,304,nombre32875
305,65698,305,nombre44006
306,2486,306,nombre24343
307,38954,307,nombre95674
308,64630,308,nombre67195
309,37393,309,nombre15031
310,25202,310,nombre27797
311,54304,311,nombre44571
312,8623,312,nombre32418
313,72987,313,nombre54352
314,24920,314,nombre85700
315,21076,315,nombre15531
316,2375,316,nombre72142
317,39736,317,nombre70962
318,4836,318,nombre56280
319,36178,319,nombre10301
320,97826,320,nombre37373
321,69488,321,nombre51237
322,97113,322,nombre70922
323,28868,323,nombre76569
324,62360,324,nombre979
325,2132,325,nombre10708
326,10851,326,nombre17009
327,46167,327,nombre54184
328,62575,328,nombre43512
329,78690,329,nombre67210
330,84569,330,nombre20512
331,83691,331,nombre73107
332,84615,332,nombre60340
333,11799,333,nombre22568
334,61275,334,nombre9145
335,11333,335,nombre12557
336,3224,336,nombre71980
337,23170,337,nombre95424
338,79475,338,nombre82375
339,41383,339,nombre86005
340,27032,340,nombre73189
341,67260,341,nombre17570
342,86228,342,nombre32466
343,37581,343,nombre57074
344,63873,344,nombre58017
345,15632,345,nombre95181
346,10953,346,nombre20252
347,61679,347,nombre79613
348,38422,348,nombre72609
349,79095,349,nombre20360
350,16286,350,nombre11327
351,21334,351,nombre60189
352,14748,352,nombre2541
353,23628,353,nombre85719
354,9163,354,nombre16786
355,94332,355,nombre41730
356,18260,356,nombre58419
357,33522,357,nombre79691
358,98702,358,nombre32530
359,90910,359,nombre40568
360,12548,360,nombre25175
361,52444,361,nombre17670
362,60020,362,nombre64704
363,6884,363,nombre67082
364,18418,364,nombre59939
365,54299,365,nombre4499
366,35974,366,nombre77835
367,55228,367,nombre32410
368,23724,368,nombre17863
369,958,369,nombre81662
370,59027,370,nombre93345
371,57212,371,nombre85
372,84096,372,nombre49584
373,13424,373,nombre71626
374,41359,374,nombre31228
375,43142,375,nombre95425
376,21578,376,nombre25161
377,79368,377,nombre48211
378,1657,378,nombre25269
379,48819,379,nombre23965
380,38781,380,nombre336
381,84271,381,nombre54360
382,91957,382,nombre73019
383,41899,383,nombre99382
384,25094,384,nombre11137
385,13248,385,nombre51483
386,33832,386,nombre12857
387,16972,387,nombre96639
388,43841,388,nombre20088
389,71825,389,nombre84463
390,70272,390,nombre3190
391,12222,391,nombre50772
392,73163,392,nombre52291
393,1215,393,nombre53717
394,46772,394,nombre88175
395,86448,395,nombre83203
396,56465,396,nombre92143
397,47528,397,nombre20109
398,67929,398,nombre92688
399,70303,399,nombre94527
400,33103,400,nombre48750
401,29958,401,nombre24717
402,42831,402,nombre23992
403,38048,403,nombre76390
404,47229,404,nombre71982
405,20493,405,nombre70592
406,27591,406,nombre34870
407,18608,407,nombre29491
408,50719,408,nombre78208
409,64953,409,nombre6603
410,34287,410,nombre98578
411,77121,411,nombre84790
412,48081,412,nombre24312
413,61358,413,nombre85448
414,71712,414,nombre88207
415,77405,415,nombre6797
416,39281,416,nombre98730
417,34069,417,nombre20978
418,55018,418,nombre66239
419,12598,419,nombre58703
420,7614,420,nombre947
421,98009,421,nombre25469
422,8332,422,nombre88134
423,83295,423,nombre37274
424,18093,424,nombre17252
425,15922,425,nombre45607
426,85645,426,nombre56005
427,25595,427,nombre75364
428,97266,428,nombre50361
429,41871,429,nombre72700
430,43006,430,nombre18540
431,68504,431,nombre73990
432,69719,432,nombre73483
433,22962,433,nombre51747
434,24624,434,nombre25341
435,57329,435,nombre70767
436,94225,436,nombre99835
437,19279,437,nombre13914
438,53703,438,nombre44223
439,74433,439,nombre94301
440,47794,440,nombre55873
441,8552,441,nombre92740
442,11140,442,nombre79485
443,86872,443,nombre20905
444,96123,444,nombre89145
445,95667,445,nombre63763
446,55554,446,nombre74820
447,18684,447,nombre38231
448,52985,448,nombre96721
449,28943,449,nombre84581
450,37805,450,nombre9855
451,84632,451,nombre28124
452,74244,452,nombre37270
453,4796,453,nombre16451
454,52023,454,nombre73321
455,95847,455,nombre79976
456,96477,456,nombre94434
457,62119,457,nombre41965
458,42536,458,nombre12652
459,79570,459,nombre16880
460,26037,460,nombre92690
461,56508,461,nombre9100
462,51305,462,nombre26039
463,89877,463,nombre14833
464,92294,464,nombre81023
465,60701,465,nombre49201
466,91838,466,nombre63675
467,91953,467,nombre1756
468,51981,468,nombre29693
469,71359,469,nombre86118
470,63215,470,nombre29776
471,40972,471,nombre71984
472,94183,472,nombre21459
473,3202,473,nombre37640
474,29166,474,nombre28756
475,44601,475,nombre10496
476,38920,476,nombre24914
477,89707,477,nombre88851
478,55826,478,nombre3089
479,85072,479,nombre90583
480,8277,480,nombre32447
481,73759,481,nombre74595
482,42357,482,nombre81490
483,91847,483,nombre63946
484,99543,484,nombre70409
485,28580,485,nombre30460
486,26471,486,nombre86678
487,72739,487,nombre87473
488,95333,488,nombre76044
489,75484,489,nombre36542
490,21652,490,nombre82173
491,54599,491,nombre59859
492,99540,492,nombre22012
493,74630,493,nombre10000
494,23236,494,nombre85045
495,15093,495,nombre99243
496,55384,496,nombre31071
497,3089,497,nombre20113
498,73421,498,nombre22949
499,81286,499,nombre71900
500,50700,500,nombre98176
501,83305,501,nombre79481
502,38404,502,nombre39439
503,2605,503,nombre90863
504,95469,504,nombre56940
505,80633,505,nombre68951
506,79676,506,nombre4623
507,88994,507,nombre40682
508,31991,508,nombre19139
509,94380,509,nombre39214
510,91410,510,nombre46622
511,50104,511,nombre88935
512,25174,512,nombre96686
513,70772,513,nombre21885
514,89450,514,nombre77722
515,12408,515,nombre31551
516,38089,516,nombre35550
517,45713,517,nombre37838
518,61503,518,nombre13580
519,39838,519,nombre78148
520,4846,520,nombre90668
521,39690,521,nombre98076
522,19268,522,nombre92920
523,10402,523,nombre54557
524,80899,524,nombre77323
525,96075,525,nombre47854
526,42136,526,nombre68623
527,41300,527,nombre64630
528,85029,528,nombre2681
529,99626,529,nombre32404
530,68052,530,nombre34449
531,32826,531,nombre54344
532,18908,532,nombre78373
533,90402,533,nombre77148
534,47163,534,nombre85511
535,33005,535,nombre54554
536,27034,536,nombre96238
537,35301,537,nombre8545
538,21068,538,nombre26358
539,48689,539,nombre72330
540,66540,540,nombre38344
541,40395,541,nombre93162
542,95976,542,nombre71755
543,5106,543,nombre10030
544,29771,544,nombre45585
545,8779,545,nombre16734
546,76089,546,nombre75273
547,96633,547,nombre48717
548,81414,548,nombre88294
549,31098,549,nombre85355
550,66919,550,nombre65489
551,34960,551,nombre16460
552,20487,552,nombre83583
553,20506,553,nombre2020
554,60000,554,nombre62101
555,57942,555,nombre22239
556,63206,556,nombre35113
557,29136,557,nombre41817
558,85316,558,nombre44782
559,28749,559,nombre77680
560,83542,560,nombre88274
561,59601,561,nombre15381
562,61362,562,nombre61167
563,82230,563,nombre60380
564,32327,564,nombre59544
565,26009,565,nombre16885
566,19867,566,nombre27841
567,22607,567,nombre5133
568,6996,568,nombre75383
569,8903,569,nombre92526
570,38223,570,nombre84752
571,23482,571,nombre57809
572,50510,572,nombre16056
573,50330,573,nombre37103
574,58557,574,nombre56693
575,87622,575,nombre61617
576,73209,576,nombre71525
577,70875,577,nombre24976
578,60883,578,nombre38737
579,27903,579,nombre55647
580,13829,580,nombre91863
581,6150,581,nombre59687
582,43112,582,nombre32856
583,38157,583,nombre58715
584,64824,584,nombre1914
585,40601,585,nombre8705
586,72193,586,nombre8089
587,37547,587,nombre15714
588,10165,588,nombre67609
589,72870,589,nombre11045
590,31524,590,nombre7465
591,62526,591,nombre29194
592,37562,592,nombre73567
593,90503,593,nombre49778
594,98832,594,nombre17294
595,44643,595,nombre40836
596,21631,596,nombre73373
597,6206,597,nombre53479
598,17131,598,nombre59541
599,30788,599,nombre22676
600,86256,600,nombre89963
601,87053,601,nombre26725
602,36594,602,nombre93023
603,15182,603,nombre54723
604,45176,604,nombre90653
605,39832,605,nombre70205
606,96136,606,nombre29157
607,54501,607,nombre74288
608,99082,608,nombre30684
609,25589,609,nombre86571
610,76301,610,nombre41945
611,34920,611,nombre3943
612,51506,612,nombre98192
613,641,613,nombre78833
614,46291,614,nombre18592
615,39518,615,nombre24598
616,2100,616,nombre99482
617,29407,617,nombre35776
618,85581,618,nombre90870
619,97068,619,nombre71994
620,95666,620,nombre26146
621,81792,621,nombre63935
622,3469,622,nombre95353
623,4412,623,nombre65885
624,88349,624,nombre76558
625,93009,625,nombre81526
626,15536,626,nombre5192
627,75989,627,nombre87464
628,46623,628,nombre24125
629,27831,629,nombre83278
630,55011,630,nombre29406
631,43194,631,nombre22549
632,1577,632,nombre71614
633,39264,633,nombre52422
634,58573,634,nombre73055
635,76961,635,nombre87397
636,36115,636,nombre50185
637,67193,637,nombre10671
638,82297,638,nombre76523
639,66402,639,nombre38247
640,2515,640,nombre52727
641,53568,641,nombre67058
642,80291,642,nombre5483
643,19125,643,nombre54748
644,538,644,nombre67883
645,9446,645,nombre33828
646,29432,646,nombre64069
647,30993,647,nombre81081
648,96111,648,nombre70310
649,52241,649,nombre11802
650,47553,650,nombre33476
651,72408,651,nombre38727
652,28726,652,nombre13213
653,10133,653,nombre70192
654,34390,654,nombre51400
655,21815,655,nombre87826
656,94839,656,nombre38133
657,90075,657,nombre55494
658,51155,658,nombre49001
659,92501,659,nombre12230
660,5117,660,nombre36463
661,47410,661,nombre84821
662,50742,662,nombre45092
663,28808,663,nombre15823
664,22178,664,nombre59275
665,41467,665,nombre62937
666,53951,666,nombre70239
667,50583,667,nombre65939
668,52432,668,nombre36806
669,34843,669,nombre47692
670,9987,670,nombre97036
671,43681,671,nombre8562
672,74329,672,nombre2198
673,50201,673,nombre67755
674,23480,674,nombre69161
675,28572,675,nombre54983
676,32622,676,nombre86970
677,9238,677,nombre71686
678,71958,678,nombre19953
679,51608,679,nombre97513
680,2699,680,nombre75991
681,2984,681,nombre46446
682,49339,682,nombre58891
683,62411,683,nombre23911
684,86393,684,nombre86976
685,51322,685,nombre66343
686,77836,686,nombre66511
687,96167,687,nombre76844
688,32315,688,nombre11087
689,85071,689,nombre32662
690,30641,690,nombre93274
691,73421,691,nombre60567
692,83670,692,nombre46861
693,22721,693,nombre33255
694,41786,694,nombre60949
695,59313,695,nombre51266
696,51741,696,nombre20031
697,74810,697,nombre96504
698,31361,698,nombre14327
699,74926,699,nombre41186
700,961,700,nombre29673
701,56501,701,nombre11170
702,22046,702,nombre79517
703,65707,703,nombre33696
704,61471,704,nombre13413
705,39859,705,nombre70410
706,21330,706,nombre25557
707,61699,707,nombre17533
708,16489,708,nombre60268
709,92065,709,nombre94724
710,23191,710,nombre54416
711,85741,711,nombre25558
712,12459,712,nombre19301
713,74787,713,nombre81736
714,50219,714,nombre69234
715,36996,715,nombre70487
716,6361,716,nombre91966
717,73326,717,nombre8097
718,68144,718,nombre24963
719,94602,719,nombre26381
720,52813,720,nombre19114
721,36760,721,nombre66734
722,136,722,nombre37116
723,53335,723,nombre25579
724,3502,724,nombre14377
725,95317,725,nombre32959
726,87639,726,nombre8601
727,97433,727,nombre16198
728,2453,728,nombre54018
729,44371,729,nombre63858
730,83737,730,nombre65172
731,81590,731,nombre9292
732,41093,732,nombre36526
733,53077,733,nombre18650
734,34758,734,nombre56267
735,66119,735,nombre64503
736,76695,736,nombre83183
737,56906,737,nombre99986
738,38219,738,nombre165
739,3128,739,nombre96705
740,49570,740,nombre37261
741,80780,741,nombre98623
742,17927,742,nombre22929
743,54402,743,nombre33002
744,10298,744,nombre99102
745,10649,745,nombre19375
746,3695,746,nombre12072
747,90557,747,nombre92176
748,77452,748,nombre30634
749,54843,749,nombre15921
750,28735,750,nombre50728
751,43648,751,nombre66357
752,9934,752,nombre82834
753,33633,753,nombre1727
754,97853,754,nombre94299
755,1173,755,nombre15845
756,92834,756,nombre89843
757,85971,757,nombre54137
758,86755,758,nombre15104
759,11484,759,nombre37922
760,66667,760,nombre96909
761,7832,761,nombre64907
762,70063,762,nombre17453
763,97933,763,nombre53895
764,70739,764,nombre92036
765,85462,765,nombre52287
766,56068,766,nombre41497
767,82663,767,nombre60160
768,2313,768,nombre38999
769,54507,769,nombre38323
770,99792,770,nombre44928
771,84266,771,nombre37819
772,47083,772,nombre23928
773,29034,773,nombre67420
774,59578,774,nombre78846
775,76289,775,nombre5886
776,55208,776,nombre90977
777,76146,777,nombre68174
778,94570,778,nombre72379
779,30601,779,nombre76884
780,59436,780,nombre63492
781,95807,781,nombre40799
782,76556,782,nombre65814
783,31232,783,nombre41429
784,25263,784,nombre46632
785,29593,785,nombre26653
786,10974,786,nombre46116
787,90909,787,nombre87019
788,59696,788,nombre92267
789,33181,789,nombre17499
790,15602,790,nombre31230
791,55733,791,nombre75652
792,20308,792,nombre74898
793,93753,793,nombre80486
794,24011,794,nombre18674
795,12219,795,nombre75796
796,43960,796,nombre56612
797,75616,797,nombre66248
798,39980,798,nombre87637
799,6216,799,nombre36750
800,79029,800,nombre79989
801,88835,801,nombre33314
802,25876,802,nombre21436
803,61900,803,nombre31593
804,62339,804,nombre74202
805,63252,805,nombre87645
806,88724,806,nombre2677
807,91944,807,nombre88115
808,81015,808,nombre95575
809,53157,809,nombre5429
810,58556,810,nombre42841
811,13372,811,nombre92937
812,40140,812,nombre79294
813,50691,813,nombre23703
814,7534,814,nombre15230
815,88504,815,nombre81878
816,89491,816,nombre47275
817,58185,817,nombre70598
818,59291,818,nombre49421
819,69557,819,nombre78110
820,82621,820,nombre35481
821,16699,821,nombre93598
822,46202,822,nombre43117
823,91574,823,nombre77908
824,90712,824,nombre13716
825,37862,825,nombre3351
826,90473,826,nombre59493
827,55713,827,nombre7648
828,44511,828,nombre2410
829,18985,829,nombre20693
830,73671,830,nombre74221
831,83610,831,nombre24462
832,70203,832,nombre75961
833,78252,833,nombre96733
834,98788,834,nombre39907
835,30075,835,nombre63919
836,20101,836,nombre61829
837,97136,837,nombre75999
838,74063,838,nombre36442
839,95088,839,nombre15996
840,63653,840,nombre96662
841,37387,841,nombre79640
842,22231,842,nombre33644
843,69596,843,nombre41200
844,71483,844,nombre8562
845,22225,845,nombre12919
846,75947,846,nombre75368
847,97363,847,nombre69222
848,23510,848,nombre88255
849,33593,849,nombre70054
850,51062,850,nombre2329
851,56125,851,nombre15264
852,14589,852,nombre42104
853,80037,853,nombre76284
854,3638,854,nombre35170
855,27933,855,nombre87044
856,29464,856,nombre33212
857,15006,857,nombre7944
858,56745,858,nombre68234
859,34021,859,nombre10764
860,77868,860,nombre16673
861,89915,861,nombre85062
862,82600,862,nombre18038
863,70742,863,nombre94510
864,74214,864,nombre282
865,2345,865,nombre9845
866,65395,866,nombre7572
867,3975,867,nombre62255
868,28878,868,nombre18961
869,70081,869,nombre53304
870,5378,870,nombre64250
871,28142,871,nombre95618
872,23768,872,nombre10500
873,95720,873,nombre4530
874,82638,874,nombre98114
875,3768,875,nombre82960
876,44597,876,nombre50331
877,96613,877,nombre66978
878,43427,878,nombre50591
879,4418,879,nombre86643
880,73362,880,nombre8319
881,69680,881,nombre36564
882,70201,882,nombre4028
883,31842,883,nombre55416
884,19547,884,nombre90807
885,13035,885,nombre99950
886,56363,886,nombre99323
887,36369,887,nombre80482
888,26510,888,nombre13664
889,84882,889,nombre26253
890,5536,890,nombre6152
891,36446,891,nombre85046
892,46068,892,nombre40227
893,54474,893,nombre33033
894,55237,894,nombre56928
895,35964,895,nombre54455
896,91844,896,nombre32906
897,86200,897,nombre42682
898,78954,898,nombre88250
899,25479,899,nombre57589
900,39391,900,nombre57519
901,19070,901,nombre76393
902,31733,902,nombre71733
903,9540,903,nombre42760
904,95456,904,nombre37024
905,63827,905,nombre47589
906,16864,906,nombre15758
907,79204,907,nombre74039
908,29614,908,nombre74486
909,65556,909,nombre16354
910,13474,910,nombre85667
911,58948,911,nombre8053
912,99768,912,nombre6637
913,6532,913,nombre89183
914,54381,914,nombre11433
915,67666,915,nombre80657
916,88145,916,nombre80581
917,76757,917,nombre68346
918,86466,918,nombre83267
919,13499,919,nombre89782
920,45522,920,nombre15189
921,29262,921,nombre93329
922,58088,922,nombre58161
923,21530,923,nombre30143
924,90558,924,nombre49805
925,49900,925,nombre19679
926,37730,926,nombre64736
927,52840,927,nombre91021
928,71943,928,nombre97725
929,2766,929,nombre75954
930,32457,930,nombre1048
931,38843,931,nombre73670
932,85945,932,nombre11470
933,5462,933,nombre72881
934,53555,934,nombre69822
935,98295,935,nombre44618
936,35163,936,nombre87046
937,99476,937,nombre27351
938,71608,938,nombre35354
939,99155,939,nombre27183
940,97640,940,nombre74223
941,49062,941,nombre33541
942,55702,942,nombre96512
943,96443,943,nombre66824
944,7236,944,nombre11166
945,21072,945,nombre3326
946,25244,946,nombre78793
947,62101,947,nombre31334
948,83336,948,nombre74912
949,46603,949,nombre33545
950,55032,950,nombre6566
951,87208,951,nombre63322
952,67070,952,nombre61976
953,64868,953,nombre59319
954,31082,954,nombre23247
955,2287,955,nombre20250
956,21473,956,nombre55992
957,89620,957,nombre15403
958,54846,958,nombre10923
959,53549,959,nombre38289
960,91277,960,nombre19142
961,70426,961,nombre18377
962,38087,962,nombre83981
963,46868,963,nombre23348
964,97554,964,nombre12922
965,29638,965,nombre68480
966,25354,966,nombre55251
967,67738,967,nombre15281
968,98163,968,nombre6566
969,54838,969,nombre37241
970,2204,970,nombre72346
971,99052,971,nombre27878
972,809,972,nombre36779
973,75664,973,nombre81297
974,29215,974,nombre21705
975,46116,975,nombre40607
976,26252,976,nombre75751
977,9846,977,nombre86479
978,4746,978,nombre85423
979,27907,979,nombre76658
980,68275,980,nombre8684
981,24994,981,nombre11264
982,79038,982,nombre74839
983,64842,983,nombre43834
984,75263,984,nombre7281
985,32213,985,nombre47210
986,27130,986,nombre1299
987,22518,987,nombre81420
988,83891,988,nombre44184
989,50852,989,nombre76023
990,8070,990,nombre618
991,16700,991,nombre56660
992,4555,992,nombre70634
993,88566,993,nombre21293
994,81291,994,nombre11458
995,63917,995,nombre56763
996,86843,996,nombre2221
997,26062,997,nombre59849
998,8143,998,nombre79139
999,74363,999,nombre93004
1000,1346,1000,nombre22546
1001,67664,1001,nombre71951
1002,25483,1002,nombre13379
1003,40126,1003,nombre77717
1004,47740,1004,nombre71630
1005,76796,1005,nombre65832
1006,29470,1006,nombre39292
1007,37309,1007,nombre3584
1008,92871,1008,nombre55588
1009,64732,1009,nombre75168
1010,90621,1010,nombre84942
1011,1335,1011,nombre88692
1012,93520,1012,nombre66883
1013,69520,1013,nombre84946
1014,62863,1014,nombre36869
1015,29677,1015,nombre54415
1016,680,1016,nombre63198
1017,95014,1017,nombre42943
1018,67833,1018,nombre87254
1019,42938,1019,nombre92573
1020,52870,1020,nombre30474
1021,65182,1021,nombre91252
1022,34835,1022,nombre92369
1023,21599,1023,nombre71996
1024,39782,1024,nombre45144
1025,73250,1025,nombre5338
1026,22607,1026,nombre55270
1027,33153,1027,nombre74106
1028,59209,1028,nombre47352
1029,70583,1029,nombre1262
1030,75286,1030,nombre78282
1031,6250,1031,nombre67389
1032,13582,1032,nombre87488
1033,39861,1033,nombre80991
1034,49807,1034,nombre70311
1035,53191,1035,nombre66242
1036,50400,1036,nombre63802
1037,12673,1037,nombre1552
1038,35554,1038,nombre48719
1039,15203,1039,nombre59914
1040,57345,1040,nombre44559
1041,89152,1041,nombre63755
1042,78494,1042,nombre13217
1043,52798,1043,nombre80934
1044,25912,1044,nombre96571
1045,33839,1045,nombre70232
1046,4437,1046,nombre44106
1047,16342,1047,nombre71659
1048,93738,1048,nombre91731
1049,72435,1049,nombre47686
1050,20746,1050,nombre32596
1051,4248,1051,nombre15531
1052,30468,1052,nombre67494
1053,70801,1053,nombre80836
1054,21612,1054,nombre83106
1055,92230,1055,nombre97453
1056,97499,1056,nombre3719
1057,81123,1057,nombre32915
1058,43934,1058,nombre49962
1059,77008,1059,nombre58955
1060,3861,1060,nombre48191
1061,88649,1061,nombre45328
1062,10077,1062,nombre11102
1063,78422,1063,nombre88931
1064,44525,1064,nombre56969
1065,21867,1065,nombre11727
